"ciudad","fecha","pp","ant_log","ant_op","prob","prob_corte","evento_log","Iop","umbral_op","evento_op"
"16225",2026-09-02,2,4.6,29.1,0.003,0.001,1,31.1,7.8,1
"16226",2026-09-02,1.7,4,23.7,0.003,0.002,1,25.4,7.7,1
"16230",2026-09-02,1.6,5,24.7,0.003,0.146,0,26.2,9.2,1
"16231",2026-09-02,2,3.3,27.8,0.003,0.169,0,29.8,7.7,1
"16232",2026-09-02,2.7,9.3,43.7,0.003,0.227,0,46.4,5.9,1
"16233",2026-09-02,3.1,6.6,48.6,0.003,0.058,0,51.7,5.6,1
"16234",2026-09-02,3.3,32.7,18.3,0.004,0.003,1,21.6,0.8,1
"16314",2026-09-02,1,2.1,1.1,0.002,0.019,0,2.2,33.8,0
"16318",2026-09-02,1.2,23.5,3.9,0.002,0.013,0,5.1,185.9,0
"16319",2026-09-02,0.9,7.2,2.7,0.001,0.02,0,3.6,182.6,0
"16322",2026-09-02,0.2,0.2,0.2,0.001,0.004,0,0.3,10.4,0
"16327",2026-09-02,0.1,0.3,2.4,0,0.021,0,2.4,121.9,0
"16328",2026-09-02,0.1,0.2,0.2,0.001,0.018,0,0.3,136,0
"16329",2026-09-02,0,0.1,0.1,0.001,0.301,0,0.1,162.9,0
"16330",2026-09-02,0,0.2,0.1,0,0.303,0,0.1,81.2,0
"16345",2026-09-02,0,0.1,0.1,0,0.247,0,0.1,155.3,0
"16434",2026-09-02,2.5,5.7,38.8,0.003,0.001,1,41.3,6.3,1
"16435",2026-09-02,1.8,4.1,27.1,0.003,0.001,1,28.9,7.1,1
"16436",2026-09-02,1.5,1.3,20.5,0.003,0.002,1,22,6.7,1
"16437",2026-09-02,1.5,3.8,22.1,0.003,0.002,1,23.6,7.3,1
"16438",2026-09-02,1.1,12.4,22.1,0.003,0.003,1,23.2,7.9,1
"16439",2026-09-02,0.7,0.8,24.4,0.003,0.07,0,25.1,6.2,1
"16440",2026-09-02,0.9,1.2,28.4,0.003,0.069,0,29.3,6.6,1
"16441",2026-09-02,1.5,25.8,25.8,0.004,0.003,1,27.3,4.9,1
"16442",2026-09-02,2.2,9.9,28.7,0.003,0.047,0,30.9,3.9,1
"16443",2026-09-02,2.6,4.6,28.1,0.004,0.022,0,30.7,3.8,1
"16444",2026-09-02,2.5,7.5,21,0.004,0.015,0,23.5,2.9,1
"16528",2026-09-02,1.2,1.4,1.4,0.001,0.41,0,2.7,53.4,0
"16529",2026-09-02,0.9,1.1,4,0.003,0.008,0,5,220,0
"16530",2026-09-02,0.6,0.8,2.4,0.003,0.008,0,3.1,229.2,0
"16531",2026-09-02,0.4,14.3,14.3,0,0.008,0,14.7,203.8,0
"16532",2026-09-02,0.3,0.3,0.3,0.001,0.005,0,0.6,19.8,0
"16534",2026-09-02,0.2,0.6,0.6,0,0.007,0,0.7,108.7,0
"16536",2026-09-02,0.1,0.3,0.2,0,0.02,0,0.3,49.4,0
"16537",2026-09-02,0.1,0.2,0.3,0,0.019,0,0.4,86.5,0
"16538",2026-09-02,0.1,0.1,0.1,0.001,0.012,0,0.2,30.4,0
"16539",2026-09-02,0.1,0.1,0.1,0.001,0.011,0,0.2,28.4,0
"16540",2026-09-02,0.1,0.1,0.1,0.001,0.012,0,0.2,33.1,0
